year,mesh,age,density
2021,smallmesh,7,0.475435816
2021,smallmesh,0,0
2021,smallmesh,1,0
2021,smallmesh,2,0
2021,smallmesh,3,0
2021,smallmesh,4,0
2021,smallmesh,5,0.130378096
2021,smallmesh,6,0.130378096
2021,smallmesh,7,0.521512386
2021,smallmesh,0,0
2021,smallmesh,1,0
2021,smallmesh,2,0
2021,smallmesh,3,0.096805421
2021,smallmesh,4,0
2021,smallmesh,5,0.096805421
2021,smallmesh,6,0.193610842
2021,smallmesh,7,0.774443369
